"GNAI3"	"GNAI3"
"PBSN"	"PBSN"
"CDC45"	"CDC45"
"H19"	"H19"
"SCML2"	"SCML2"
"APOH"	"APOH"
"NARF"	"NARF"
"CAV2"	"CAV2"
"KLF6"	"KLF6"
"SCMH1"	"SCMH1"
"COX5A"	"COX5A"
"TBX2"	"TBX2"
"TBX4"	"TBX4"
"ZFY2"	"ZFY2"
"NGFR"	"NGFR"
"WNT3"	"WNT3"
"WNT9A"	"WNT9A"
"FER"	"FER"
"XPO6"	"XPO6"
"TFE3"	"TFE3"
"AXIN2"	"AXIN2"
"BRAT1"	"BRAT1"
"GNA12"	"GNA12"
"SLC22A18"	"SLC22A18"
"ITGB2L"	"ITGB2L"
"IGSF5"	"IGSF5"
"PIH1D2"	"PIH1D2"
"DLAT"	"DLAT"
"SDHD"	"SDHD"
"FGF23"	"FGF23"
"FGF6"	"FGF6"
"CCND2"	"CCND2"
"GPR107"	"GPR107"
"NALCN"	"NALCN"
"BTBD17"	"BTBD17"
"SLFN4"	"SLFN4"
"TH"	"TH"
"INS2"	"INS2"
"SCNN1G"	"SCNN1G"
"DRP2"	"DRP2"
"TSPAN32"	"TSPAN32"
"LHX2"	"LHX2"
"CLEC2G"	"CLEC2G"
"GLRA1"	"GLRA1"
"MID2"	"MID2"
"TRIM25"	"TRIM25"
"DGKE"	"DGKE"
"SCPEP1"	"SCPEP1"
"MNT"	"MNT"
"ITGB2"	"ITGB2"
"HDDC2"	"HDDC2"
"TPD52L1"	"TPD52L1"
"PEMT"	"PEMT"
"CDH1"	"CDH1"
"CDH4"	"CDH4"
"CKMT1"	"CKMT1"
"BCL6B"	"BCL6B"
"CLEC10A"	"CLEC10A"
"ALOX12"	"ALOX12"
"ARVCF"	"ARVCF"
"COMT"	"COMT"
"RTCA"	"RTCA"
"DBT"	"DBT"
"DAZAP2"	"DAZAP2"
"MCTS1"	"MCTS1"
"REM1"	"REM1"
"RNF17"	"RNF17"
"TRAPPC10"	"TRAPPC10"
"CCM2"	"CCM2"
"WAP"	"WAP"
"TBRG4"	"TBRG4"
"TMPRSS2"	"TMPRSS2"
"MX1"	"MX1"
"FAP"	"FAP"
"GCG"	"GCG"
"NDUFA9"	"NDUFA9"
"EGFL6"	"EGFL6"
"LCK"	"LCK"
"TSSK3"	"TSSK3"
"CTTNBP2"	"CTTNBP2"
"GALNT1"	"GALNT1"
"MYF5"	"MYF5"
"MKRN2"	"MKRN2"
"PPARG"	"PPARG"
"RAF1"	"RAF1"
"SEPT1"	"SEPT1"
"PDGFB"	"PDGFB"
"ACVRL1"	"ACVRL1"
"GRASP"	"GRASP"
"ACVR1B"	"ACVR1B"
"TOM1L2"	"TOM1L2"
"GPA33"	"GPA33"
"ZFP385A"	"ZFP385A"
"ITGA5"	"ITGA5"
"GABRA2"	"GABRA2"
"WDR77"	"WDR77"
"ADORA3"	"ADORA3"
"ATP5F1"	"ATP5F1"
"SOX9"	"SOX9"
"HNRNPD"	"HNRNPD"
"DYNLT1C"	"DYNLT1C"
"C1D"	"C1D"
"KRIT1"	"KRIT1"
"CLCN4"	"CLCN4"
"VMN2R88"	"VMN2R88"
"GRM6"	"GRM6"
"SEMA4F"	"SEMA4F"
"HK2"	"HK2"
"MYO18A"	"MYO18A"
"SEZ6"	"SEZ6"
"HAAO"	"HAAO"
"CD52"	"CD52"
"ABHD15"	"ABHD15"
"HOXB6"	"HOXB6"
"LOXL3"	"LOXL3"
"TCL1B5"	"TCL1B5"
"BTN1A1"	"BTN1A1"
"KAT2B"	"KAT2B"
"RAB5B"	"RAB5B"
"CRYBA1"	"CRYBA1"
"DNMT3L"	"DNMT3L"
"AIRE"	"AIRE"
"ICOSL"	"ICOSL"
"SPG7"	"SPG7"
"SULT5A1"	"SULT5A1"
"RPL13"	"RPL13"
"CHMP1A"	"CHMP1A"
"RPA1"	"RPA1"
"SERPINF1"	"SERPINF1"
"TUBGCP3"	"TUBGCP3"
"OPRM1"	"OPRM1"
"POLR3D"	"POLR3D"
"TCF7"	"TCF7"
"DDX3X"	"DDX3X"
"IL12RB1"	"IL12RB1"
"SLC5A5"	"SLC5A5"
"KCNN3"	"KCNN3"
"USP32"	"USP32"
