OR4F5	OR4F5
OR4F29	OR4F29
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
PERM1	PERM1
HES4	HES4
ISG15	ISG15
AGRN	AGRN
RNF223	RNF223
C1orf159	C1orf159
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
C1QTNF12	C1QTNF12
UBE2J2	UBE2J2
SCNN1D	SCNN1D
ACAP3	ACAP3
PUSL1	PUSL1
INTS11	INTS11
CPTP	CPTP
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20	MRPL20
ANKRD65	ANKRD65
TMEM88B	TMEM88B
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72	SSU72
FNDC10	FNDC10
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2A	SLC35E2A
NADK	NADK
GNB1	GNB1
CALML6	CALML6
TMEM52	TMEM52
CFAP74	CFAP74
GABRD	GABRD
PRKCZ	PRKCZ
FAAP20	FAAP20
SKI	SKI
MORN1	MORN1
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
HES5	HES5
TNFRSF14	TNFRSF14
PRXL2B	PRXL2B
MMEL1	MMEL1
TTC34	TTC34
ACTRT2	ACTRT2
PRDM16	PRDM16
ARHGEF16	ARHGEF16
MEGF6	MEGF6
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
CCDC27	CCDC27
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
AJAP1	AJAP1
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
AL031847.2	AL031847.2
RPL22	RPL22
RNF207	RNF207
